preferredLabel;description
maintain inventory of cleaning supplies;Follow the stock of cleaning materials, order new material when the stock is empty and follow their usage to maintain a constant supply.
cold vulcanisation;Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear.
supervise housekeeping operations;Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations.
act as contact person during equipment incident;Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.
manage time in landscaping;Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs.
advise on customs regulations;Give information to people regarding import and export restrictions, tariff systems and other custom-related topics.
manage university department;Supervise and assess the university support practices, students well-being, and teachers performance.
develop terminology databases;Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.
assess nutritional characteristics of food;Evaluate the nutritional value of food, including proportion of fats, carbohydrates, sugars, vitamins, in order to contribute to a better healthy diet.
repair electric bicycles;Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycles operating fluids and see if it needs refills or changes.
maintain sorting equipment;Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.
explain features in accommodation venue;Clarify guests accommodation facilities and demonstrate and show how to use them.
types of barley;"The different types of barley; their characteristics, and quality."
KDevelop;The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.
purchase vehicle parts;Order specific parts required for maintenance and repair of a wide variety of vehicles.
inspect offshore constructions;Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations.
transport patient to medical facility;Assist in lifting and carrying of the patient into the emergency vehicle for transport, and into the receiving medical facility on arrival.
adjust envelope cutting settings;Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness.
prepare oils;Select the appropriate oils for the client, mix and blend them in order to create individualised compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy.
purchase supplies;"Purchase and replenish supplies; make sure that all required goods are available in stock."
pursue excellence in the creation of food products;Try to develop food products in their most qualitative form possible.
maintain personal hygiene standards when cleaning;Make sure to keep yourself clean and tidy and wear protective equipment when performing cleaning activities, as required by the health and safety procedures of the task or the organisation.
liaise with typists;Give instructions to typists about the addressees, the appropriate format, the number of copies required, etc. for them to type the final documents.
assess railway operations;Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs.
practise extreme sports;Practise action sports considered to have a high level of inherent danger and involving speed, height, a high level of physical exertion, and highly specialized gear.
adopt ways to foster biodiversity and animal welfare;Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare.
provide chaperone for children on set;Make sure there is always a chaperone present on the set when recruiting underage children to perform in a motion picture.
organise labour;Organise, allocate and coordinate members of the team. Organise production programmes and plan the production and sales. Purchase materials and equipment. Manage stocks.
use glass engraving tools;Use engraving tools which use steel, stone or copper wheels according to the kind of glass or glassware.
operate wrecking ball;Use a wrecking ball to demolish a structure or parts of it. Hoist the wrecking ball into the air with a crane. Drop the ball or swing it in a controlled manner to hit the structure. Prevent misses as the weight and momentum of the ball may destabilise the crane.
evaluate garment quality;"Evaluating stitching, construction, attachments, fasteners, embellishments, shading within the garment; evaluating pattern continuity-, matching; evaluating tapes and linings."
apply for refunds;Make inquiries at the supplier in order to return, exchange or refund goods.
perform a feasibility study for building management systems;Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.
Absorb (learning management systems);The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students.
peform small vessel administrative duties;Fulfil administrative and labour requirements. Plan provisioning, receipt and stowage. Release the ship in accordance with current regulations.
cosmetics ingredients;A variety of sources cosmetics are composed of ranging from crushed insects to rust.
human dynamics as part of hospitality security;The characteristics of human behaviour and human interaction and dynamics to ensure their security in hospitality establishment.
advise on construction materials;Provide advice on and test a wide range of construction materials.
maintain rotating equipment;Perform routine maintenance on rotating equipment to ensure that it is clean and in safe, working order.
manage volunteers in second-hand shop;coordinate a staff of volunteers for duties in a second-hand store.
pump products for storage;Store tanks or other equipment to process bleached paper pulp for further steps in the paper-making procedure.
medico-biological and medical sciences related to dentistry;The behavioral component and the social environment  which impact the health of humans, in respect to dentistry.
attend to detail in casting processes;Attend in the metal processing casting work to specificities and details concerning the quality of the casting and moulds.
biomedical science;The principles of the natural sciences applied to medicine. Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention.
keep up to date on product knowledge;Gather the latest information on developments related to the existing or supported products, methods or techniques.
write Hungarian;Compose written texts in Hungarian.
monitor drilling fluid;Monitor and maintain the drilling fluids, or mud. Add different chemicals to the fluid to perform various function in well operations: keep the drill bit cool, provide hydrostatic pressure, etc.
develop efficiency plans for maritime shipping;"Arrange the most efficient use of cargo space and vessel movement; monitor the number of available cranes and dock space; and assess the physical condition of ships and impact of cargo weight on the stability of ships."
tend packaging machines;Tend packaging machines such as filling, labelling, and sealing machines. Stock and sort products to be processed according to specifications. Replenish packaging supplies as required, such as boxes, cartons, wrapping paper, plastic sheet, glue, ink, or labels.
advise on clay products handling;Advise other workers on the covering of end-products with tarpaulin.
maintain drilling equipment;Maintenance and repair of a variety of drilling equipment.
control tree diseases;Identify diseased or undesirable trees. Remove them using power saws or hand saws.
analyse the artistic concept based on stage actions;Analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production.
migrate existing data;Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.
manage supplies;Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer.
human factors regarding safety;The considerations and implications for human safety.
perform roof maintenance;Recommend and perform maintenance and repair work such as fixing broken shingles, replacing flashing, clearing debris and securing the gutters.
types of digesters;This includes the stationary and rotary steam digesters, which cook wood chips in an acid solution to make pulp for use in the manufacture of paper.
define database physical structure;Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.
lay stones;Place stone blocks or paving stones, which have been cut to the right size and thickness beforehand, to build stone walls and stairs, to lay pavement or to insert door and window frames.
assemble circus rigging equipment;Assemble and fit-up circus rigging equipment based on instruction or technical rider or description.
manage documentation of prior learning assessments ;Agree upon competencies that are to be assessed. Establish the assessment protocol and develop templates to record the assessment decisions. Establish a communication plan. Distribute relevant assessment documents to authorities, clients, or colleagues according to this plan.
perform oral health diagnosis;Inquire about the state of oral hygiene, perform an examination, do imaging investigations and interpret the findings to set a diagnosis.
geomatics;The scientific discipline that studies gathering, storing, and processing geographic information.
contamination exposure regulations;The regulations concerning exposure to contaminated materials or a hazardous environment which regulate the actions surrounding risk assessment, minimisation of further exposure, quarantine, and treatment of the exposed persons.
Maltego;The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures.
search historical sources in archives;Search archives in order to find the sources needed for historical research.
supervise performers fights;Communicate expectations and targeted results, transmit the fight sequences, and technical aspect of the fighting discipline, etc. Help the performers/dancers internalise the fights sequences and fighting techniques. Supervise them in action and motivate and help them them achieve their maximum potential. Make performers them aware of the associated risks. Get performers to rehearse fights.
develop script bible;Create a document, called the script or story bible, with all the information about the characters and settings of the story.
operate radio equipment;Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.
remove contaminated materials;Remove materials and equipment which are contaminated with hazardous substances in order to protect the surroundings from further contamination and to treat or dispose of the contaminated materials.
inspect paint quality;Inspect paint to ensure it is of a good quality by testing the viscosity, homogeneity and other factors.
styles of boxes;Different styles of boxes in Europe. These are defined by a 4-digit code and specified by the European Federation of Corrugated Board Manufacturers (FEFCO). The styles are more an example of complicated and special box designs.
collect property financial information;Collect information concerning the previous transactions involving the property, such as the prices at which the property had been previously sold and the costs that went into renovations and repairs, in order to obtain a clear image of the propertys value.
trace financial transactions;Observe, track and analyse financial transactions made in companies or in banks. Determine the validity of the transaction and check for suspicious or high-risk transactions in order to avoid mismanagement.
contribute to quality physiotherapy services;Participate in activities that promote quality, particularly in the acquisition and evaluation of equipment, resources, safe storage and supply management.
install radtors;Install heat exchangers that transfer thermal energy to heat or cool their environment. Connect the pipes to the central heating system.
advise on care products for pets;Provide advice on basic care products, such as supplements and vitamins, that can be used on various types of pets.
operate remote sensing equipment;Set up and operate remote sensing equipment such as radars, telescopes, and aerial cameras in order to obtain information about Earths surface and atmosphere.
calculate stairs rise and run;Calculate the appropriate measures for the rise and run of each stair, taking into account the total height and depth of the stairs, any floor covering, and the range of stair measurements that allow comfortable use.
first aid for animals;Animal emergency treatment, including the principles and aims of the provision of first aid treatment to animals.
empathise with outdoor groups;Identify the outdoor activities permitted or suited in an outdoor setting based on the groups needs.
provide context to news stories;Provide substantial context to national or international news stories to explain things in more detail.
circuit diagrams;Read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections.
draw up artistic production;File and document a production in all its phases right after the performance period so that it can be reproduced and all relevant information remains accessible.
install passenger service units;Install PSUs in ceiling of an aircraft by using hand and power tools.
understand written Korean;Read and comprehend written texts in Korean.
keep records of bridge investigation findings;Register the results of bridge investigations and send them to the appropriate authorities.
sand blasting machine parts;The various parts of a type of sand blasting machinery, their qualities and applications, such as a treadle, blast nozzle, dust collecter, filter, abrasive materials and others.
create model;Create sketches, drawing, three-dimensional models, and models in other media in preparation for a work of art.
follow procedures to control substances hazardous to health;Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury.
assess visual impact of displays;"Analyse feedback from customers and co-workers on the visual impact of displays and showcases; implement changes where needed."
select glassware for serving;Choose appropriate glassware for beverages and inspect glass quality and cleanliness.
cardiovascular system;The cardiovascular system including the anatomy, physiology, and pathophysiology of the circulatory system in health and disease.
biosecurity related to animals;Awareness of hygiene and bio-security measures when working with animals, including causes, transmission and prevention of diseases and use of policies, materials and equipment.
check information on prescriptions;Verify the information on prescriptions from patients or from the doctor`s office ensuring that it is complete and accurate.
assume responsibility for maintaining a safe ship environment;Ensure a safe on board environment for crew and passengers.
follow hygienic practices in fishery operations;Comply with the right regulations and practices for hygienically handling fishery related tasks and responsibilities in fishery operations.
supervise work on design planning;Supervise the work in progress at the design stage and on site.
measure trees;Take all relevant measurements of a tree: use a clinometer to gauge the height, tape to measure the circumference, and increment borers and bark gauges to estimate the growth rate.
bend staves;Use various techniques to give the wooden planks the desired curve, such as softening the wood in steam tunnels and then replacing the working hoops with stronger hoops.
select music for performance;Select pieces of music for a live performance. Consider factors such as ensemble abilities, availability of scores and the need for musical variety.
geological mapping;The technique used to create maps that clearly illustrate the geological features and rock layers of an area that may be useful for mining projects and geological explorations.
tend electron beam welding machine;Tend a metalworking machine designed to join metal pieces by use of an electron beam exuding a concentrated heat source, monitor and operate it according to regulations.
ensure infrastructure accessibility;Consult designers, builders, and people with disabilities to determine how best to provide accessible infrastructure.
inspect table settings;Control table settings in order to ensure a correct table setup, including cutlery and glassware.
drive automatic car;Drive a vehicle operated under an automatic, or self-shifting, transmission system safely and according to regulations.
prepare intravenous packs;Under a pharmacist`s supervision, add measured drugs or nutrients to intravenous solutions to prepare intravenous packs ensuring the process is done under sterile conditions.
configure electronic equipment;Ensure that electronic equipment is set up correctly.
Erlang;The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.
operate specialised equipment in emergency;Operate equipment such as external defibrillators and bag-valve mask resuscitators, spinal and traction splints and intravenous drips in advanced life-support environments, taking electrocardiograms when required.
plan retail space;Effectively distribute retail space allotted to particular categories.
write leaflets;Create flyers such as recruitment flyers in order to recruit people or publicity flyers in order to contribute to the development of publicity campaigns.
use jewellery equipment;Handle, modify, or repair jewellery-making equipment such as jigs, fixtures, and hand tools such as scrapers, cutters, gougers, and shapers.
taste wines;Taste wines to have a sensory examination and evaluation of wine, and to check wine appearance and evaluate characteristics such as the in glass aroma, the in mouth sensations and the aftertaste.
manufacturing of taps and valves;The manufacture of industrial, sanitary or heating taps and valves.
check sensorial parameters of oils and fats;Check sensorial parameters of olive oils, seed oils and edible fats such as taste, smell and touch.
maintain coquille parts;Carry out minor repair tasks and maintenance of coquilles and coquille parts.
understand spoken Hungarian;Comprehend orally expressed Hungarian.
schedule maintenance of airport electrical systems;Schedule maintenance for each individual element of an airport electrical system. Set the frequency for maintenance of the different elements while monitoring overall airport operations.
provide pre-hospital emergency care of trauma;Provide pre-hospital emergency medical care of simple and multiple system trauma, controlling haemorrhage, treating shock, bandaged wounds and immobilising painful, swollen, or deformed extremities, neck, or spine.
history of tobacco;The different stages and developments of tobacco cultivation, cultural particularities and trading through time.
carry out event management;Plan and execute all the technical and logistical aspects required for an event to be successful.
understand spoken Welsh;Comprehend orally expressed ?Welsh.
manage ICT data classification;Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.
keep sheet records;Record numbers of a specific sheet cut sequence by placing serial numbers on stock cut and issued revenue stamps.
work in an economically efficient manner;Perform work processes as efficiently as possible, avoiding the waste of materials, time, and energy as much as possible.
brush rubber cement;Brush rubber cement on closures and valves or on the sides of the already processed rubber plies.
develop leather goods collection;Transform leather goods design ideas and concepts into prototypes and, finally, a collection. Analyse and check the designs from various angles like functionality, aesthetics, performance and manufacturability. Manage the development process of all the leather goods prototypes in order to meet the customer’s needs and to properly balance quality with production costs.
create solutions to problems;Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice.
analyse cultural trends;Keep up to date with popular cultural trends such as pop culture, cultural and social slang.
assess cage water quality;Analyse the quality of water by monitoring the state of temperature and oxygen, among other parameters.
understand the architecture of a live performance;Identify the choreographic structure of a live performance work. Be aware of sequences, sections, parts and rhythmic structure.
apply electrolytes to cathodes and anodes;Immerse the components anode and cathose of an electric circuit in a electrolyte solution safely, consisting of metal salts, acids, bases, and other ions that facilitate the flow of electricity.
hair cutting techniques;Various techniques that can be used in the process of cutting a persons hair, such as layering, slicing, and face framing.
manage claim files;Follow up on the progress of a claim file, keep all parties informed of the status of the file, ensure the customer receives the damages owed, treat any problems or complaints from customers, close the file and give information to an authorised person or department when there is suspicion of fraud.
rescue animals;Rescue animals found in situations which present an immediate or potential threat to their welfare.
guide ships into docks;Safely guide a ship into a dock and anchor it.
criminology;The study of criminal behaviour, such as its causes and nature, its consequences, and control and prevention methods.
information structure;The type of infrastructure which defines the format of data: semi-structured, unstructured and structured.
climate smart agriculture;An integrated approach to landscape management that aims at increasing food productivity, enhance crop resilience, ensure food safety and reduce emissions and adapt to climate change.
test materials;Test the composition, characteristics, and use of materials in order to create new products and applications. Test them under normal and extraordinary conditions.
update message displays;Update message displays that show passenger information.
operate a forecourt site;Oversee and manage day-to-day operations in a service station forecourt.
unload cargo;Handle safe unloading of goods from transportation vehicles.
photogrammetry;The science of taking photographs from at least two different locations in order to measure land surfaces to be represented in a map, 3D model or physical model.
interact with programmer on intention of consultancy work;Ask the programmer or direction team about the intent of your consultancy work, whether it be to follow and improve the current vision, to build customers loyalty, to address a new audience, to change or re-orient the artistic line, etc. Clarify the extent to which the choreologist should be involved in the development of the artistic vision, programming season, or project, and adapt yourself to different leadership styles.
communicate gambling rules;Inform about the applicable rules and guidelines in force in the gambling industry such as betting ceilings.
control train departures;"Monitor and control departure of trains; prepare outbound trains with the required number of carriages and provide safety assurance."
manipulate dental material;Manipulate materials used in dental procedures such as waxes, plastics, precious and non-precious alloys, stainless steel, porcelains and composites or polymer glass.
forensic pathology;The legal procedures and techniques used to determine the cause of death of an individual, as part of an investigation of criminal law cases.
manage temporary ICT networks for live performance;Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals.
techniques of blood-sampling;The appropriate techniques for the collection of blood samples for laboratory work purposes, depending on the group of people targeted such as children or elderly.
hygiene in a health care setting;The procedures related to maintaining a hygienic environment within a health care setting such as hospitals and clinics. It can range from hand washing to cleaning and disinfection of medical equipment used and infection control methods.
design beer recipes;Be creative in composing, testing and producing new beer recipes according to specifications and existing recipes.
finish plastic products;Finish the product by sanding, branding and polishing the plastic surface.
keep up with digital transformation of industrial processes;Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the companys processes aiming for competitive and profitable business models.
plan team building;Encourage team members and build a relationship of mutual trust, respect and cooperation.
advice others;Offer suggestions about the best course of action.
perform manual spiral binding;Operate preformed spiral binding in perforated holes of items and hold the spiral against rubber-covered spindles or wringer-like rollers. These further twist the spiral into any remaining perforations.
place orders for orthopedic products;"Order specialised orthopaedic materials and supplies for the store; maintain the company stock."
interact verbally in Bosnian;Communicate orally in ?Bosnian.
emboss designs;Instead of raising a design (embossing) this process recesses the design, forcing the material down from the surface. It produces a different effect or appearance on the material.
monitor flour unloading equipment;Monitor flour unloading equipment and flour processing systems. Ensure ingredients are delivered on time.
maintain statutory books;Maintain updated the statutory books of the company with the relevant information of the directors and secretaries, the directors interests, and the register of shareholders.
wash the laundry;Wash or clean clothes by hand or by use of a washing machine.
organise homecare for patients;Organise care to be provided in the house of a patient who is housebound with acute and/or long-term health problems.
load cargo;Gather goods to be transported and place them in a transportation vehicle.
deliver case notes;Deliver the appropriate case notes in a timely manner to those requesting them.
check quality of enamel;Assess enamel by using a needle. If defective, remove it and repeat the enamel process.
monasticism;The devotion of ones life to spirituality and the rejection of worldly pursuits such as material goods.
understand written Latvian;Read and comprehend written texts in Latvian.
trim excess materials;Trim excess material from finished products with a knife.
respond to changing situations in health care;Cope with pressure and respond appropriately and in time to unexpected and rapidly changing situations in healthcare.
write Finnish;Compose written texts in Finnish.
tend drying equipment;Tend drying equipment, including kiln driers, hearth ovens, roasters, char kilns, and vacuum drying equipment.
manage freight payment methods;Manage freight payment methods in accordance with the procedure that must be followed wherein payment is made around the time the freight is due to arrive, clear customs, and be released.
keep food laboratory inventory;Monitor stocks of food analysis laboratories. Order supplies to keep laboratories well furnished.
tramway regulations;Know the regulations governing tramways and apply these regulations in the daily operations of tram transportation. Ensure that standards are met in relation to safeguarding the well-being of passengers and the tramway company.
rehabilitate worn dentition;Manage tooth caries, defects and aesthetic problems, using techniques that conserve tooth structure and preserve pulp vitality to restore form and function.
coordinate flight schedules;Manage and review flight schedules and aircraft operations before and after departure.
understand spoken Punjabi;Comprehend orally expressed Punjabi.
embargo regulations;The national, international and foreign sanctions and embargo regulations, e.g. Council Regulation (EU) No 961/2010.
set up office equipment;Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage.
advise on bankruptcy proceedings;Guide and advise clients on the formalities, procedures and the actions that can ameliorate the losses in case of bankruptcy.
sell processed timber in a commercial environment;Check that the sales area is in a suitable condition for customers and that the stock and materials are in a suitable condition to be sold.
provide technical documentation;Prepare documentation for existing and upcoming products or services, describing their functionality and composition in such a way that it is understandable for a wide audience without technical background and compliant with defined requirements and standards. Keep documentation up to date.
slaughter animals;Kill animals, usually domestic livestock, for food. Protect animal welfare at slaughter by minimising the pain, distress or suffering of animals at the time of killing. Follow relevant regulations.
develop policies for nutritional programs;Develop policies for food service or nutritional programs to assist in health promotion and disease control.
perform live;Perform in front of live audiences.
teach nursing principles;Instruct students in the theory and practice of nursing, with the aim of assisting them in pursuing a future career in this field, more specifically in topics such as medicine, first aid, human anatomy, sterilization, and patient care.
take advantage of learning opportunities in veterinary science;Use different channels and learning styles such as journals, courses, and conferences to obtain new information, knowledge, skills, and know-how in relation to working with animals.
support harmed social service users;Take action where there are concerns that individuals are at risk of harm or abuse and support those who make a disclosure.
SAS language;The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.
use an application-specific interface;Understand and use interfaces particular to an application or use case.
design electrical systems;Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details.
weld in hyperbaric conditions;Use arc welding techniques to make welds in conditions of very high pressure, usually in an underwater dry chamber such as a diving bell. Compensate for the negative consequences of high pressure on a weld, such as the shorter and less steady welding arc.
weigh shipments;Weigh shipments and calculate the maximum weights and dimensions, per package or per item, for each consignment.
operate concrete casting machine;Operate the machine that casts concrete blocks, making sure the finished blocks are according to specifications.
promote fitness customer referral;Invite customers to bring friends and family along and promote their fitness activities in their social environment.
audit contractors;Examine and document different industry contractors, in order to determine whether they comply with regulations and standards in relation to safety, environment and quality of design, construction and testing, etc.
fish grading;The method of how fish are graded according to their different characteristics: specification, size, quality and condition.
carry out inventory planning;Determine the optimal quantities and timings of inventory in order to align it with sales and production capacity.
prepare energy performance contracts;Prepare and review contracts that describe the energy performance while making sure they comply with legal requirements.
pass on trade techniques;Pass on knowledge and skills, explain and demonstrate the application of equipment and materials and answer questions about trade techniques for the manufacturing of products.
treat animals ethically;Carry out activities according to accepted principles of right and wrong, including transparency in work practices and conduct towards clients and their animals.
define firewall rules;Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.
continuous improvement philosophies;Underlying ideas of quality management systems. Implementation process of lean manufacturing, Kanban, Kaizen, Total Quality Management (TQM) and other continuous improvement systems.
otorhinolaryngologic conditions;The pathogenesis, diagnosis, and management related to the otorhinolaryngologic conditions.
prepare livestock for artificial insemination;Correctly identify stock to be inseminated. Move stock to an appropriate area to be inseminated. Ensure that the work environment is suitable for the safe handling of animals and protection of operators.
operate production drilling machine;Operate a large mobile mining machine equipped with a powerful pneumatic or hydraulic hammer used to drill long vertical and inclined holes for production purposes.
carry out quality control in microbiology laboratories;Perform quality assurance testing of media, reagents, laboratory instrumentation and other materials used in microbiology laboratory.
operate warehouse record systems;Operate systems for recording product, packaging, and order information in specific formats and types of record.
